"title","titlelink","price","room","roomlink","area","arealink","person","personlink","updated_at"
"ONE BHK IN GURGAON","http://gurgaon.quikr.com/ONE-BHK-IN-GURGAON-W0QQAdIdZ166718867","Rs 26,00,000","1 BHK","http://gurgaon.quikr.com/1-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In DLF Phase 2","http://gurgaon.quikr.com/Apartments-For-Sale/DLF-Phase-2/w13222204001?from=chiclet","By Individual","http://gurgaon.quikr.com/Individual/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","5 hours ago"
"2BHK flat Bestech Park View Ananda for Sale in Gurgaon ...","http://gurgaon.quikr.com/2BHK-flat-Bestech-Park-View-Ananda-for-Sale-in-Gurgaon-9958811889-W0QQAdIdZ166720275","Rs 72,00,000","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sohna Road","http://gurgaon.quikr.com/Apartments-For-Sale/Sohna-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","5 hours ago"
"Mapsko Royale Ville Resale Price Call 9582922206 ,Secto...","http://gurgaon.quikr.com/Mapsko-Royale-Ville-Resale-Price-Call-9582922206-Sector-82-Gurgaon-W0QQAdIdZ166718275","Rs 71,60,000","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 80","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-80/w13222204001?from=chiclet","By Individual","http://gurgaon.quikr.com/Individual/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","5 hours ago"
"Resale Kashish Manor One Sector 111 Gurgaon","http://gurgaon.quikr.com/Resale-Kashish-Manor-One-Sector-111-Gurgaon-W0QQAdIdZ166699898","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Palam Vihar","http://gurgaon.quikr.com/Apartments-For-Sale/Palam-Vihar/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","5 hours ago"
"VATIKA PRIMEROSE 2ND FLOOR","http://gurgaon.quikr.com/VATIKA-PRIMEROSE-2ND-FLOOR-W0QQAdIdZ166717388","Rs 65,00,000","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 80","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-80/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","6 hours ago"
"CHD Vann @ 9711207688","http://gurgaon.quikr.com/CHD-Vann-9711207688-W0QQAdIdZ166668437","Rs 6,450","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sohna Road","http://gurgaon.quikr.com/Apartments-For-Sale/Sohna-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","6 hours ago"
"FARIDABAD IN BPTP BUILDER FLOOR 250 SQ YARD L-BLOCK","http://gurgaon.quikr.com/FARIDABAD-IN-BPTP-BUILDER-FLOOR-250-SQ-YARD-L-BLOCK-W0QQAdIdZ166716705","Rs 52,00,000","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In DLF Phase 1","http://gurgaon.quikr.com/Apartments-For-Sale/DLF-Phase-1/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","6 hours ago"
"Auram Floors South City-2 Gurgaon,its ready to move","http://gurgaon.quikr.com/Auram-Floors-South-City-2-Gurgaon-its-ready-to-move-W0QQAdIdZ166716117","Rs 1,35,00,000","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In South City 2","http://gurgaon.quikr.com/Apartments-For-Sale/South-City-2/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","6 hours ago"
"Resale Chintels Paradiso Sector 109 Gurgaon","http://gurgaon.quikr.com/Resale-Chintels-Paradiso-Sector-109-Gurgaon-W0QQAdIdZ166714009","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Palam Vihar","http://gurgaon.quikr.com/Apartments-For-Sale/Palam-Vihar/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","6 hours ago"
"Resale Paras Dews Sector 106 Gurgaon","http://gurgaon.quikr.com/Resale-Paras-Dews-Sector-106-Gurgaon-W0QQAdIdZ166714345","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Daulatabad","http://gurgaon.quikr.com/Apartments-For-Sale/Daulatabad/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","6 hours ago"
